ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM,confidence_factor_low,confidence_factor_high
009db,5.000,1188.000,1147.775,1177.944,1184.648,0.250,0.083
AJ.ll,3.000,654.000,904.245,691.537,691.537,0.150,0.050
AOC_CAIDEN,5.000,1000.000,1219.242,1054.810,1054.810,0.250,0.083
BBQ__WATER,6.000,1232.000,2558.526,1629.958,1629.958,0.300,0.100
BBW,30.000,1144.000,1026.409,1026.409,1085.204,1.000,0.500
Chino__0,15.000,1239.000,1579.030,1494.022,1494.022,0.750,0.250
Cosmo_o,4.000,0.000,837.971,837.971,837.971,1.000,1.000
Cosmooon,5.000,328.000,620.138,401.034,401.034,0.250,0.083
EPSTEIN,4.000,0.000,1784.554,1784.554,1784.554,1.000,1.000
Falcon12321,5.000,1483.000,1019.176,1367.044,1444.348,0.250,0.083
FlashBolo,5.000,1135.000,965.227,1092.557,1120.852,0.250,0.083
Frost_Bite17,15.000,717.000,901.226,855.170,855.170,0.750,0.250
GO_BABs,5.000,881.000,756.302,849.826,870.609,0.250,0.083
GO_GhostXRP,5.000,1320.000,1255.373,1303.843,1314.614,0.250,0.083
GO_Lester,10.000,1323.000,857.878,1090.439,1245.480,0.500,0.167
GO_Maverick,19.000,1538.000,1415.814,1421.923,1499.308,0.950,0.317
GO_STOOOBE,19.000,976.000,923.716,926.330,959.443,0.950,0.317
GO_Sapphire2889,5.000,800.000,767.848,791.962,797.321,0.250,0.083
GOxPinkpwnage,24.000,1529.000,1228.275,1228.275,1408.710,1.000,0.400
GOxSami,10.000,933.000,639.896,786.448,884.149,0.500,0.167
GO~SHoVVTiMeX,5.000,1187.000,1353.814,1228.704,1228.704,0.250,0.083
Greta Thunberg,5.000,1513.000,1284.935,1455.984,1493.995,0.250,0.083
HMONG_SIN,5.000,989.000,840.012,951.753,976.584,0.250,0.083
IA_JDog,3.000,1603.000,1038.452,1518.318,1574.773,0.150,0.050
IrieVR,25.000,938.000,1242.354,1242.354,1242.354,1.000,0.417
JackGPT,10.000,966.000,1305.589,1135.795,1135.795,0.500,0.167
JerryTrucksALot_SIN,5.000,1307.000,730.921,1162.980,1258.993,0.250,0.083
K1NGZ,10.000,0.000,1482.464,1482.464,1482.464,1.000,1.000
KyGelli,5.000,334.000,539.315,385.329,385.329,0.250,0.083
Legends_1,3.000,1595.000,820.635,1478.845,1556.282,0.150,0.050
Littlered85,10.000,1011.000,956.667,983.834,1001.945,0.500,0.167
MISSION VR,5.000,1233.000,761.080,1115.020,1193.673,0.250,0.083
MOVEWAY,25.000,789.000,1064.464,1064.464,1064.464,1.000,0.417
MVP_Provolown,5.000,1226.000,1382.182,1265.045,1265.045,0.250,0.083
MrRager,35.000,1098.000,1873.660,1873.660,1873.660,1.000,0.583
MyVRUser12,13.000,1920.000,1361.049,1556.682,1798.894,0.650,0.217
ONE_KAKAK_KR,5.000,1237.000,1202.520,1228.380,1234.127,0.250,0.083
P-DIDDY,5.000,0.000,962.838,962.838,962.838,1.000,1.000
POOTERPANDA,2.000,1575.000,1645.453,1582.045,1582.045,0.100,0.033
PigG13,3.000,1236.000,795.088,1169.863,1213.954,0.150,0.050
Psycho.Bunny,20.000,719.000,947.435,947.435,947.435,1.000,0.333
R Kelly,39.000,1456.000,1669.099,1669.099,1669.099,1.000,0.650
Ramp4g3,7.000,1148.000,1413.180,1240.813,1240.813,0.350,0.117
RevolutionX,5.000,246.000,581.916,329.979,329.979,0.250,0.083
Rocco_DiBacco,15.000,621.000,1915.957,1592.218,1592.218,0.750,0.250
S.A.O PeterpanFLEX,10.000,1735.000,1423.688,1579.344,1683.115,0.500,0.167
S.A.O._MAX.I.CAN,10.000,1418.000,1210.134,1314.067,1383.356,0.500,0.167
SAH1b,18.000,1802.000,1434.659,1471.393,1691.798,0.900,0.300
SIeepyJoeBiden,15.000,1058.000,1556.435,1431.826,1431.826,0.750,0.250
STEVE,5.000,0.000,1010.317,1010.317,1010.317,1.000,1.000
Scarer_VR,10.000,634.000,1154.345,894.172,894.172,0.500,0.167
Smoke399,5.000,814.000,813.834,813.958,813.986,0.250,0.083
Solace.45,34.000,575.000,772.629,772.629,772.629,1.000,0.567
Sydney Sweeney,2.000,1432.000,1355.805,1424.380,1429.460,0.100,0.033
TTV.Cryptic,30.000,1322.000,1057.613,1057.613,1189.806,1.000,0.500
TTV_CaseOh,5.000,1353.000,953.184,1253.046,1319.682,0.250,0.083
TW_ghostyy,20.000,758.000,1001.533,1001.533,1001.533,1.000,0.333
TWxCANNON,4.000,873.000,1003.325,899.065,899.065,0.200,0.067
Tonkaah,5.000,1390.000,997.775,1291.944,1357.315,0.250,0.083
Unethiqll,5.000,924.000,817.716,897.429,915.143,0.250,0.083
VIPxGlocknheels,10.000,1101.000,793.180,947.090,1049.697,0.500,0.167
VIPxNoah,30.000,1445.000,1735.947,1735.947,1735.947,1.000,0.500
VIPxRyan2dayy,25.000,1410.000,1839.388,1839.388,1839.388,1.000,0.417
VIPxSteel,15.000,1172.000,1160.549,1163.412,1169.137,0.750,0.250
VRS_Chemimbalance227,5.000,1062.000,971.399,1039.350,1054.450,0.250,0.083
VRS_Claxicon.TTV,15.000,1161.000,863.137,937.603,1086.534,0.750,0.250
VRS_Philophosaurus,10.000,1041.000,920.536,980.768,1020.923,0.500,0.167
VRS_SnickleFritzA,5.000,1109.000,831.850,1039.712,1085.904,0.250,0.083
VRS_avyn,5.000,1691.000,1182.712,1563.928,1648.643,0.250,0.083
VRSxT3MINITE,15.000,930.000,991.571,976.178,976.178,0.750,0.250
Vantage.VR,5.000,1049.000,715.493,965.623,1021.208,0.250,0.083
Vorchek,19.000,887.000,1241.941,1224.194,1224.194,0.950,0.317
WWW_Abstract333,5.000,1009.000,1057.596,1021.149,1021.149,0.250,0.083
WWW_Consesa,10.000,718.000,592.965,655.482,697.161,0.500,0.167
WWW_FemboyFallen,5.000,708.000,690.310,703.578,706.526,0.250,0.083
WillMM,20.000,1144.000,1251.317,1251.317,1251.317,1.000,0.333
WolfPlayz27,15.000,739.000,887.556,850.417,850.417,0.750,0.250
XXX_ACE_XXX,3.000,316.000,647.610,365.741,365.741,0.150,0.050
Yeahboiiiiii,13.000,1562.000,1329.007,1410.554,1511.518,0.650,0.217
colinthe6,10.000,1332.000,1011.561,1171.781,1278.594,0.500,0.167
crank.d,14.000,666.000,966.479,876.335,876.335,0.700,0.233
creamy,24.000,2078.000,2081.045,2081.045,2081.045,1.000,0.400
itsnaaattybetts,5.000,1452.000,1742.600,1524.650,1524.650,0.250,0.083
lleading,5.000,1580.000,1296.282,1509.071,1556.357,0.250,0.083
plistic,10.000,673.000,993.346,833.173,833.173,0.500,0.167
ryze @ LAN,4.000,1559.000,797.908,1406.782,1508.261,0.200,0.067
speed.y,9.000,672.000,762.186,712.584,712.584,0.450,0.150
urdeadbyendgame,3.000,897.000,1012.739,914.361,914.361,0.150,0.050
vipxace,5.000,1001.000,680.655,920.914,974.305,0.250,0.083
